Total number of words is: 64017
the        3159 4,934627%
I          1758 2,746146%
to         1680 2,624303%
and        1660 2,593061%
a          1468 2,293141%
of         1335 2,085384%
in         939  1,466798%
you        742  1,159067%
was        721  1,126263%
that       694  1,084087%
it         540  0,843526%
me         535  0,835716%
for        516  0,806036%
he         504  0,787291%
her        498  0,777918%
my         490  0,765422%
with       477  0,745115%
is         442  0,690442%
his        437  0,682631%
on         425  0,663886%
s          396  0,618586%
as         367  0,573285%
t          363  0,567037%
but        350  0,546730%
at         347  0,542044%
have       323  0,504553%
had        317  0,495181%
she        298  0,465501%
him        292  0,456129%
The        291  0,454567%
not        284  0,443632%
from       256  0,399894%
by         240  0,374900%
be         235  0,367090%
this       232  0,362404%
said       225  0,351469%
we         218  0,340535%
or         208  0,324914%
an         203  0,317103%
so         200  0,312417%
all        197  0,307731%
up         194  0,303045%
out        187  0,292110%
are        186  0,290548%
were       181  0,282737%
one        174  0,271803%
like       169  0,263992%
they       167  0,260868%
will       167  0,260868%
there      161  0,251496%
He         153  0,238999%
them       153  0,238999%
no         151  0,235875%
into       149  0,232751%
who        149  0,232751%
would      149  0,232751%
about      146  0,228064%
You        144  0,224940%
your       141  0,220254%
do         140  0,218692%
It         138  0,215568%
been       137  0,214006%
what       130  0,203071%
when       129  0,201509%
time       128  0,199947%
Grushnitsky 125  0,195261%
man        121  0,189012%
She        120  0,187450%
know       120  0,187450%
if         117  0,182764%
ll         117  0,182764%
down       115  0,179640%
some       114  0,178078%
see        113  0,176516%
now        112  0,174954%
What       110  0,171829%
can        109  0,170267%
has        107  0,167143%
their      104  0,162457%
Pechorin   103  0,160895%
only       103  0,160895%
which      103  0,160895%
And        102  0,159333%
here       101  0,157771%
did        98   0,153084%
eyes       97   0,151522%
We         93   0,145274%
could      93   0,145274%
am         92   0,143712%
long       92   0,143712%
more       92   0,143712%
went       91   0,142150%
don        90   0,140588%
us         90   0,140588%
very       90   0,140588%
But        88   0,137463%
other      88   0,137463%
A          85   0,132777%
our        85   0,132777%
Princess   84   0,131215%
replied    84   0,131215%
way        83   0,129653%
over       81   0,126529%
must       80   0,124967%
thought    79   0,123405%
captain    78   0,121843%
love       78   0,121843%
than       78   0,121843%
then       76   0,118718%
too        74   0,115594%
horse      73   0,114032%
In         72   0,112470%
after      71   0,110908%
off        70   0,109346%
first      69   0,107784%
old        69   0,107784%
through    69   0,107784%
myself     68   0,106222%
away       66   0,103098%
good       66   0,103098%
though     66   0,103098%
didn       65   0,101536%
something  65   0,101536%
two        65   0,101536%
face       64   0,099973%
began      63   0,098411%
last       63   0,098411%
princess   62   0,096849%
go         61   0,095287%
nothing    61   0,095287%
Mary       60   0,093725%
day        60   0,093725%
its        60   0,093725%
never      60   0,093725%
say        60   0,093725%
around     59   0,092163%
heart      59   0,092163%
looked     59   0,092163%
night      59   0,092163%
another    58   0,090601%
before     58   0,090601%
tell       58   0,090601%
without    58   0,090601%
word       58   0,090601%
young      58   0,090601%
back       57   0,089039%
because    57   0,089039%
came       57   0,089039%
